Type,Family,Area,Width,Base Constraint,Top Constraint,Function,Structural Usage,Fire Rating,Volume,Length
BEN714_IN-05_120,Basic Wall,73 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,8.73 m³,3457
BEN714_IN-05_120,Basic Wall,45 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,5.39 m³,2536
BEN714_IN-05_120,Basic Wall,91 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,10.90 m³,3636
BEN714_IN-05_120,Basic Wall,72 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,8.61 m³,2638
BEN714_IN-05_120,Basic Wall,20 m²,120,00_Ground Floor,Up to level: 07_Roof Floor,Exterior,Non-bearing,,2.43 m³,1040
BEN714_IN-06_150,Basic Wall,9 m²,150,00_Ground Floor,Up to level: 01_First Floor,Exterior,Non-bearing,,1.42 m³,3089
BEN714_PT_03-70,Basic Wall,7 m²,70,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.51 m³,1892
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.05 m³,495
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.05 m³,466
BEN714_PT_04-30,Basic Wall,3 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.09 m³,823
BEN714_PT_04-30,Basic Wall,27 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.80 m³,6955
BEN714_PT_04-30,Basic Wall,3 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.09 m³,775
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.06 m³,525
BEN714_PT_04-30,Basic Wall,5 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.14 m³,1360
BEN714_EX-01-470,Basic Wall,179 m²,470,00_Ground Floor,Unconnected,Exterior,Non-bearing,,84.16 m³,20017
BEN714_EX-01-470,Basic Wall,408 m²,470,00_Ground Floor,Unconnected,Exterior,Non-bearing,,191.93 m³,13419
BEN714_EX-01-470,Basic Wall,115 m²,470,00_Ground Floor,Unconnected,Exterior,Non-bearing,,53.98 m³,3622
BEN714_EX-01-470,Basic Wall,353 m²,470,-01_Basement Floor,Unconnected,Exterior,Non-bearing,,165.74 m³,14569
BEN714_EX-02-170,Basic Wall,24 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,4.00 m³,890
BEN714_EX-02-170,Basic Wall,17 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,2.91 m³,721
BEN714_EX-02-170,Basic Wall,15 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,2.46 m³,602
BEN714_EX-02-170,Basic Wall,19 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,3.19 m³,710
BEN714_EX-02-170,Basic Wall,13 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,2.20 m³,721
