Family,Level,System Classification,Mark,,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),00_Ground Floor,Supply Air,Power,154,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),00_Ground Floor,Supply Air,Power,155,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),00_Ground Floor,Supply Air,Power,156,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),00_Ground Floor,Supply Air,Power,157,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),00_Ground Floor,Supply Air,Power,158,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,159,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,160,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,161,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,162,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,163,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,164,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,165,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,166,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,167,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,168,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,169,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,170,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,171,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,172,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,173,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,174,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,175,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,176,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,177,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,178,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,179,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,180,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,181,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,182,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,183,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),01_First Floor,Supply Air,Power,184,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,185,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,186,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,187,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,188,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,189,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,190,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,191,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,192,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,193,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,194,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,195,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,196,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,197,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,198,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,199,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,200,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,201,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,202,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,203,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,204,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,205,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,206,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,207,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,208,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,209,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),02_Second Floor,Supply Air,Power,210,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,211,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,212,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,213,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,214,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,215,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,216,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,217,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,218,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,219,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,220,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,221,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,222,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,223,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,224,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,225,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,226,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,227,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,228,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,229,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,230,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,231,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,232,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,233,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,234,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,235,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),03_Third Floor,Supply Air,Power,236,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,237,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,238,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,239,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,240,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,241,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,242,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,243,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,244,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,245,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,246,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,247,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,248,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,249,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,250,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,251,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,252,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,253,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,254,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,255,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,256,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,257,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,258,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,259,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,260,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,261,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),04_Fourth Floor,Supply Air,Power,262,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),05_Fifth Floor,Supply Air,Power,263,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),05_Fifth Floor,Supply Air,Power,264,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),05_Fifth Floor,Supply Air,Power,265,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),05_Fifth Floor,Supply Air,Power,266,,
VAV_Box-METALAIRE-SeriesFanPowered-Basic-RndInlet-(FCI_Case_2-7),05_Fifth Floor,Supply Air,Power,267,,
