Name,Number,Area,Level
Bed 1,147,9 m²,2nd Floor Level
Bathroom,148,8 m²,2nd Floor Level
Bed 1,149,9 m²,2nd Floor Level
Bed 2,150,11 m²,2nd Floor Level
Bed 2,151,11 m²,2nd Floor Level
Open Plan,152,53 m²,2nd Floor Level
Open Plan,153,34 m²,2nd Floor Level
Bathroom,154,6 m²,2nd Floor Level
Bed 1,155,10 m²,2nd Floor Level
Bed 1,156,Not Enclosed,2nd Floor Level
Bathroom,157,7 m²,2nd Floor Level
Open Plan,158,27 m²,2nd Floor Level
Bed 2,159,28 m²,2nd Floor Level
Bed 1,160,9 m²,2nd Floor Level
Bathroom,161,5 m²,2nd Floor Level
Stair Core/ Lift,162,22 m²,2nd Floor Level
Bed 2,163,10 m²,2nd Floor Level
Open Plan,164,38 m²,3rd Floor Level
Open Plan,165,39 m²,3rd Floor Level
Bed 1,166,12 m²,3rd Floor Level
Bed 2,167,9 m²,3rd Floor Level
Bed 3,168,7 m²,3rd Floor Level
Room,169,16 m²,3rd Floor Level
Bed 1,170,12 m²,3rd Floor Level
Bed 1,171,13 m²,3rd Floor Level
Bathroom,172,6 m²,3rd Floor Level
Bathroom,173,8 m²,3rd Floor Level
Open Plan,174,49 m²,3rd Floor Level
Open Plan,175,35 m²,3rd Floor Level
Bed 1,176,10 m²,3rd Floor Level
Cloaks,177,6 m²,3rd Floor Level
Bed 2,178,9 m²,3rd Floor Level
Bathroom,179,7 m²,3rd Floor Level
Bed 3,180,17 m²,3rd Floor Level
Stair Core/ Lift,181,38 m²,3rd Floor Level
Open Plan,182,40 m²,3rd Floor Level
Cloaks,183,4 m²,3rd Floor Level
Bed 1,184,10 m²,3rd Floor Level
Bed 2,185,8 m²,3rd Floor Level
Open Plan,186,44 m²,3rd Floor Level
Cloaks,187,4 m²,3rd Floor Level
Bed 2,188,8 m²,3rd Floor Level
Bed 1,189,10 m²,3rd Floor Level
Bed 3,190,16 m²,3rd Floor Level
Bed 3,191,16 m²,3rd Floor Level
Open Plan,192,45 m²,3rd Floor Level
Bathroom,193,8 m²,3rd Floor Level
Bed 1,194,21 m²,3rd Floor Level
Bathroom,195,9 m²,3rd Floor Level
Open Plan,196,49 m²,3rd Floor Level
Bed 1,197,17 m²,3rd Floor Level
Bed 2,198,13 m²,3rd Floor Level
Open Plan,199,38 m²,3rd Floor Level
Bathroom,200,7 m²,3rd Floor Level
Bed 2,201,17 m²,3rd Floor Level
Bed 1,202,17 m²,3rd Floor Level
En-Suite,203,4 m²,3rd Floor Level
Open Plan,204,42 m²,3rd Floor Level
Bed 1,205,14 m²,3rd Floor Level
Bed 2,206,17 m²,3rd Floor Level
Bed 3,207,14 m²,3rd Floor Level
Bathroom,208,10 m²,3rd Floor Level
Stair Core/ Lift,209,13 m²,3rd Floor Level
Bed 1,210,14 m²,3rd Floor Level
Bed 2,211,11 m²,3rd Floor Level
Open Plan,212,38 m²,3rd Floor Level
Bathroom,213,4 m²,3rd Floor Level
Stair Core,214,14 m²,3rd Floor Level
