Family,Type,Material: Name,Material: Volume,Material: Area,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.16 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,White,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Paint D,0.00 m³,19 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Air,299.17 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Rigid insulation,159.55 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Vapor Retarder,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Damp-proofing,0.00 m³,1994 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Sand/Cement Screed,129.64 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Brick, Engineering, Grey,0.00 m³,0 m²
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete Masonry, Floor Block,199.44 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Concrete, Precast,149.58 m³,1994 m²,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,exterior brown,0.00 m³,2 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,red,0.00 m³,26 m²,,
Floor,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,grey Floor Boards,19.94 m³,1994 m²,,
