Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,56 m²,7.68 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,White,1 m²,7.68 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,47 m²,12.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,94 m²,12.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,51 m²,13.87 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,101 m²,13.87 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,101 m²,27.74 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,202 m²,27.74 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,914 m²,249.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,1822 m²,249.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,107 m²,29.23 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,213 m²,29.23 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,10 m²,2.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,20 m²,2.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,138 m²,37.81 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,273 m²,37.81 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,White,134 m²,37.81 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,10 m²,2.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,20 m²,2.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,422 m²,115.56 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,843 m²,115.56 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,24 m²,6.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,47 m²,6.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,112 m²,30.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,223 m²,30.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,132 m²,36.27 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,132 m²,36.27 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,265 m²,36.27 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,194 m²,53.04 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,387 m²,53.04 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,328 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,328 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,328 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,navy blue,6 m²,44.90 m³,274,,
