Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,79 m²,25.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,84 m²,25.00 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,75 m²,25.00 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,75 m²,25.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,78 m²,25.00 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,97 m²,29.34 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,93 m²,29.34 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,92 m²,29.34 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,97 m²,29.34 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,87 m²,29.34 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,87 m²,29.34 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,91 m²,29.34 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,58 m²,15.93 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,58 m²,15.93 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,116 m²,15.93 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,34 m²,9.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,68 m²,9.29 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,46 m²,14.53 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,46 m²,14.53 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,46 m²,14.53 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,46 m²,14.53 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,46 m²,14.53 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,46 m²,14.53 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,46 m²,14.53 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,52 m²,14.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,105 m²,14.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,52 m²,14.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,34 m²,9.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,68 m²,9.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,34 m²,9.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,exterior brown,6 m²,9.29 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,47 m²,14.63 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,7 m²,14.63 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Dark Grey,47 m²,14.63 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,57 m²,17.82 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint D,57 m²,17.82 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,45 m²,14.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,46 m²,14.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,47 m²,14.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,43 m²,14.38 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,49 m²,14.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,49 m²,14.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,exterior brown,42 m²,14.38 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,52 m²,14.13 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,52 m²,14.13 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,103 m²,14.13 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,49 m²,13.52 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,49 m²,13.52 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,99 m²,13.52 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,75 m²,23.81 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,76 m²,23.81 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,77 m²,23.81 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,72 m²,23.81 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,80 m²,23.81 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,80 m²,23.81 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,59 m²,16.13 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,118 m²,16.13 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,59 m²,16.13 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,65 m²,17.73 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,129 m²,17.73 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,65 m²,17.73 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,101 m²,31.75 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,White,101 m²,31.75 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint F,0 m²,31.75 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,127 m²,34.91 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,255 m²,34.91 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,124 m²,33.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,124 m²,33.88 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,247 m²,33.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,136 m²,37.15 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,271 m²,37.15 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,134 m²,36.82 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,134 m²,36.82 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,269 m²,36.82 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,40 m²,10.83 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,79 m²,10.83 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,51 m²,15.94 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,51 m²,15.94 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,51 m²,15.94 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,51 m²,15.94 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,51 m²,15.94 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,51 m²,15.94 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,36 m²,9.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,73 m²,9.99 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,49 m²,15.28 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,49 m²,15.28 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,49 m²,15.28 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,49 m²,15.28 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,49 m²,15.28 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,49 m²,15.28 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,36 m²,9.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,6 m²,9.99 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,73 m²,9.99 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,43 m²,13.67 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,43 m²,13.67 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,43 m²,13.67 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,43 m²,13.67 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,43 m²,13.67 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,43 m²,13.67 m³,315,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,125 m²,89.09 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,125 m²,89.09 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,125 m²,89.09 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,125 m²,89.09 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,125 m²,89.09 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,105 m²,74.72 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,105 m²,74.72 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,105 m²,74.72 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,105 m²,74.72 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,105 m²,74.72 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,451 m²,320.85 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,451 m²,320.85 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,451 m²,320.85 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,451 m²,320.85 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,451 m²,320.85 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Paint D,1 m²,320.85 m³,712,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,46 m²,12.59 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,92 m²,12.59 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,47 m²,14.87 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,47 m²,14.87 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,47 m²,14.87 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,47 m²,14.87 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,47 m²,14.87 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,47 m²,14.87 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,41 m²,11.16 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,81 m²,11.16 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,52 m²,16.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,52 m²,16.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,52 m²,16.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,52 m²,16.38 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,52 m²,16.38 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,52 m²,16.38 m³,315,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,149 m²,105.95 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,149 m²,105.95 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,149 m²,105.95 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,149 m²,105.95 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,149 m²,105.95 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,144 m²,102.71 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,144 m²,102.71 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,144 m²,102.71 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,144 m²,102.71 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,144 m²,102.71 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,34 m²,24.22 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,34 m²,24.22 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,34 m²,24.22 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Soldier Course,2 m²,24.22 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,34 m²,24.22 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,34 m²,24.22 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,21 m²,14.65 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,21 m²,14.65 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,21 m²,14.65 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Soldier Course,21 m²,14.65 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,21 m²,14.65 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,21 m²,14.65 m³,712,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,37 m²,11.55 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,37 m²,11.55 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,37 m²,11.55 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,37 m²,11.55 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,37 m²,11.55 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,37 m²,11.55 m³,315,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,142 m²,101.21 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,142 m²,101.21 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,142 m²,101.21 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,142 m²,101.21 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,142 m²,101.21 m³,712,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,30 m²,8.18 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,60 m²,8.18 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,21 m²,5.66 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,41 m²,5.66 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,93 m²,25.53 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,186 m²,25.53 m³,274,,
Wall Tim,Wall Tim,Default Wall,395 m²,113.71 m³,,,
Wall Tim,Wall Tim,Brick, Engineering, Grey,7 m²,113.71 m³,
Wall Tim,Wall Tim,Paint - White Lining,38 m²,113.71 m³,,,
Wall Tim,Wall Tim,White,563 m²,113.71 m³,,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,60 m²,15.71 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,115 m²,15.71 m³,274,,
Wall Trim 3,Wall Trim 3,Default Wall,28 m²,60.67 m³,,,
Wall Trim 3,Wall Trim 3,Paint - White Lining,211 m²,60.67 m³,,,
Wall Trim 3,Wall Trim 3,White,174 m²,60.67 m³,,,
Wall Trim 3,Wall Trim 3,Paint D,91 m²,60.67 m³,,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,69 m²,8.69 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,139 m²,8.69 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,10 m²,1.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,19 m²,1.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,14 m²,1.74 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,28 m²,1.74 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,17 m²,2.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,34 m²,2.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,97 m²,12.14 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,194 m²,12.14 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,9 m²,1.16 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,19 m²,1.16 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,30 m²,3.71 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,59 m²,3.71 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,87 m²,10.83 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,173 m²,10.83 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,62 m²,7.72 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,124 m²,7.72 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,16 m²,2.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,33 m²,2.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,29 m²,3.57 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,57 m²,3.57 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,44 m²,5.47 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,88 m²,5.47 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,20 m²,2.51 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,40 m²,2.51 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,25 m²,3.15 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,50 m²,3.15 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,55 m²,6.83 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,109 m²,6.83 m³,125,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,18 m²,5.03 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,37 m²,5.03 m³,274,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,18 m²,12.51 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,18 m²,12.51 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,18 m²,12.51 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,18 m²,12.51 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,18 m²,12.51 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,White,18 m²,12.51 m³,712,,
