Type,Family,Width,Length,Area,Volume,Function,Structural Material,
Wall-Int_12P-100Blk-12P,Basic Wall,125,4567,12 m²,1.56 m³,Interior,Concrete Masonry Units,
Wall-Int_15p-219stone-15p,Basic Wall,249,6186,19 m²,4.75 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,578,2 m²,0.38 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,3920,10 m²,2.45 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,6241,19 m²,4.63 m³,Interior,Stone External Walls,
Wall-Int_12P-100Blk-12P,Basic Wall,125,4615,11 m²,1.33 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2378,3 m²,0.32 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,4615,14 m²,1.74 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,2327,6 m²,0.78 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1203,4 m²,0.50 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1319,5 m²,0.57 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,3310,11 m²,1.33 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,563,2 m²,0.23 m³,Interior,Concrete Masonry Units,
Wall-Int_12P-100Blk-12P,Basic Wall,125,1782,4 m²,0.45 m³,Interior,Concrete Masonry Units,
Wall-Int_15p-219stone-15p,Basic Wall,249,3192,9 m²,2.34 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,12069,40 m²,9.88 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,4615,14 m²,3.40 m³,Interior,Stone External Walls,
Wall-Int_15p-219stone-15p,Basic Wall,249,2100,6 m²,1.59 m³,Interior,Stone External Walls,
